measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2000,1998.168250054806,2643.6024971257357,1406.165898658306
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2001,2005.2192594240396,2656.911542263108,1421.617357958448
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2002,2018.0033059585166,2682.4997053723378,1437.7353626995255
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2003,2033.140733667438,2705.427557036882,1454.3904248687977
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2004,2052.1533449127096,2719.071623421189,1472.9197765717615
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2005,2075.2661262343254,2740.1829581807733,1496.236959175679
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2006,2141.6685618837405,2803.9459489429996,1549.081471767651
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2007,2269.8313937823777,2946.67506016065,1669.5352959237443
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2008,2422.808245846834,3111.782177462138,1795.8733827804176
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2009,2559.2636047920287,3253.6018051960345,1918.200482756584
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2010,2637.862940065758,3332.9095906042044,1993.7336272548955
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2011,2671.1937489581487,3365.4346722418404,2022.2889065508489
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2012,2702.2100640380545,3385.042853641062,2048.965516603701
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2013,2729.2968981268687,3404.648941945748,2072.645793197943
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2014,2748.1240787089155,3425.260512432557,2094.5091570355166
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2015,2756.4696123654926,3430.835444600939,2106.5787944907306
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2016,2721.56854025961,3435.4986369177172,2043.7823834800186
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2017,2686.0852629593005,3453.20424284518,1986.4123247439677
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2018,2695.638529283849,3475.868356357526,1979.1714635676722
6,Incidence,558,Ohio,3,Both,158,<20 years,515,Asthma,3,Rate,2019,2730.2551698258812,3551.9242503302135,1976.2378515505281
6,Incidence,538,Iowa,3,Both,158,<20 years,515,Asthma,3,Rate,2000,1677.9729970044098,2241.2029922603288,1199.7794963911642
6,Incidence,538,Iowa,3,Both,158,<20 years,515,Asthma,3,Rate,2001,1677.3448987228157,2239.0546040860945,1204.2086159145233
